user_id,product_id,product_name,category,price,rating,user_previous_purchases,user_interests,interaction_type,timestamp
u1028,p1002,laptop stand,electronics,1199,2,jeans|wireless mouse|face wash,electronics|fashion,view,2025-12-23
u1090,p4002,moisturizer,beauty,599,1,wireless mouse|running shoes|laptop stand,beauty|electronics,purchase,2025-11-11
u1035,p4002,moisturizer,beauty,599,5,knife set|running shoes|mixer grinder,electronics|fashion,purchase,2025-09-11
u1031,p3002,knife set,home & kitchen,999,4,cooking pan|running shoes|laptop stand,beauty|fashion,cart,2025-09-24
u1052,p3002,knife set,home & kitchen,999,3,sunscreen|wireless mouse|laptop stand,beauty|electronics,view,2025-11-08
u1024,p2001,running shoes,fashion,2499,3,mixer grinder|knife set|bluetooth keyboard,home & kitchen|beauty,cart,2025-11-08
u1111,p1002,laptop stand,electronics,1199,5,knife set|mixer grinder|laptop stand,beauty|fashion,view,2025-12-18
u1118,p2001,running shoes,fashion,2499,4,bluetooth keyboard|cooking pan|knife set,home & kitchen|beauty,view,2025-11-29
u1048,p1001,wireless mouse,electronics,799,5,cooking pan|t-shirt|knife set,fashion|electronics,purchase,2025-09-08
u1019,p2001,running shoes,fashion,2499,3,t-shirt|running shoes|wireless mouse,beauty|fashion,view,2025-12-29
u1074,p3002,knife set,home & kitchen,999,1,mixer grinder|sunscreen|bluetooth keyboard,beauty|fashion,view,2025-12-24
u1076,p1002,laptop stand,electronics,1199,2,moisturizer|running shoes|cooking pan,beauty|fashion,purchase,2025-08-11
u1005,p4001,face wash,beauty,399,2,laptop stand|cooking pan|face wash,fashion|electronics,purchase,2025-10-22
u1030,p2002,t-shirt,fashion,799,1,cooking pan|bluetooth keyboard|t-shirt,home & kitchen|electronics,view,2025-09-15
u1079,p4001,face wash,beauty,399,3,laptop stand|sunscreen|mixer grinder,electronics|fashion,view,2025-10-13
u1112,p1002,laptop stand,electronics,1199,5,running shoes|jeans|t-shirt,electronics|home & kitchen,purchase,2025-10-25
u1078,p4002,moisturizer,beauty,599,1,mixer grinder|wireless mouse|sunscreen,fashion|home & kitchen,view,2025-11-04
u1014,p1002,laptop stand,electronics,1199,5,sunscreen|mixer grinder|bluetooth keyboard,fashion|electronics,view,2025-10-15
u1026,p4002,moisturizer,beauty,599,1,moisturizer|t-shirt|mixer grinder,home & kitchen|electronics,view,2025-08-01
u1054,p2002,t-shirt,fashion,799,3,wireless mouse|sunscreen|jeans,electronics|fashion,view,2025-09-19
u1070,p4003,sunscreen,beauty,699,2,cooking pan|mixer grinder|wireless mouse,beauty|home & kitchen,purchase,2026-01-01
u1106,p2003,jeans,fashion,1799,1,face wash|mixer grinder|bluetooth keyboard,home & kitchen|beauty,cart,2025-10-09
u1115,p1001,wireless mouse,electronics,799,5,jeans|running shoes|moisturizer,beauty|electronics,cart,2025-08-05
u1095,p1003,bluetooth keyboard,electronics,1499,2,running shoes|bluetooth keyboard|moisturizer,home & kitchen|beauty,purchase,2025-10-17
u1100,p3001,cooking pan,home & kitchen,1599,1,moisturizer|running shoes|t-shirt,electronics|fashion,cart,2026-01-01
u1109,p3002,knife set,home & kitchen,999,2,running shoes|sunscreen|knife set,fashion|electronics,view,2026-01-04
u1084,p2001,running shoes,fashion,2499,3,cooking pan|jeans|t-shirt,beauty|electronics,purchase,2025-09-02
u1051,p4002,moisturizer,beauty,599,2,mixer grinder|jeans|wireless mouse,beauty|electronics,purchase,2025-11-04
u1004,p1002,laptop stand,electronics,1199,5,face wash|cooking pan|jeans,fashion|electronics,purchase,2025-12-12
u1049,p4001,face wash,beauty,399,5,running shoes|t-shirt|wireless mouse,home & kitchen|beauty,purchase,2025-07-19
u1092,p4003,sunscreen,beauty,699,1,sunscreen|moisturizer|running shoes,fashion|electronics,purchase,2025-10-18
u1079,p2003,jeans,fashion,1799,4,moisturizer|laptop stand|t-shirt,fashion|home & kitchen,cart,2025-09-29
u1089,p2002,t-shirt,fashion,799,4,mixer grinder|bluetooth keyboard|running shoes,home & kitchen|fashion,purchase,2025-11-27
u1078,p4001,face wash,beauty,399,3,t-shirt|cooking pan|mixer grinder,beauty|electronics,view,2025-09-22
u1100,p4001,face wash,beauty,399,4,face wash|moisturizer|jeans,home & kitchen|electronics,purchase,2025-11-17
u1065,p3002,knife set,home & kitchen,999,5,sunscreen|bluetooth keyboard|laptop stand,fashion|home & kitchen,cart,2025-12-18
u1104,p2001,running shoes,fashion,2499,1,moisturizer|t-shirt|running shoes,electronics|beauty,view,2025-11-09
u1060,p4001,face wash,beauty,399,4,laptop stand|knife set|cooking pan,electronics|fashion,cart,2025-09-30
u1031,p1003,bluetooth keyboard,electronics,1499,2,moisturizer|wireless mouse|laptop stand,home & kitchen|beauty,purchase,2025-08-31
u1059,p1001,wireless mouse,electronics,799,4,mixer grinder|running shoes|laptop stand,home & kitchen|beauty,purchase,2025-08-28
u1071,p4001,face wash,beauty,399,4,jeans|knife set|face wash,home & kitchen|fashion,view,2025-09-11
u1057,p2002,t-shirt,fashion,799,2,running shoes|moisturizer|t-shirt,home & kitchen|fashion,cart,2025-09-20
u1009,p4003,sunscreen,beauty,699,5,t-shirt|running shoes|sunscreen,fashion|electronics,view,2025-12-06
u1019,p2001,running shoes,fashion,2499,4,cooking pan|bluetooth keyboard|running shoes,beauty|electronics,cart,2025-08-25
u1059,p3001,cooking pan,home & kitchen,1599,1,wireless mouse|running shoes|cooking pan,home & kitchen|fashion,purchase,2025-10-05
u1061,p1001,wireless mouse,electronics,799,5,jeans|t-shirt|cooking pan,home & kitchen|fashion,purchase,2025-11-15
u1062,p2001,running shoes,fashion,2499,3,t-shirt|cooking pan|knife set,beauty|electronics,purchase,2025-07-21
u1102,p3001,cooking pan,home & kitchen,1599,5,sunscreen|bluetooth keyboard|knife set,electronics|fashion,view,2025-10-02
u1075,p4001,face wash,beauty,399,4,moisturizer|wireless mouse|laptop stand,home & kitchen|beauty,view,2025-12-29
u1033,p3001,cooking pan,home & kitchen,1599,4,jeans|running shoes|knife set,fashion|electronics,cart,2025-09-25
u1032,p1002,laptop stand,electronics,1199,2,knife set|wireless mouse|mixer grinder,beauty|electronics,purchase,2025-12-24
u1099,p4002,moisturizer,beauty,599,5,wireless mouse|sunscreen|running shoes,electronics|beauty,view,2025-11-10
u1016,p3002,knife set,home & kitchen,999,3,moisturizer|laptop stand|face wash,electronics|home & kitchen,cart,2025-11-29
u1077,p4001,face wash,beauty,399,5,sunscreen|laptop stand|bluetooth keyboard,fashion|beauty,view,2025-10-23
u1073,p4002,moisturizer,beauty,599,2,cooking pan|sunscreen|running shoes,beauty|fashion,view,2025-07-16
u1098,p2002,t-shirt,fashion,799,5,moisturizer|face wash|laptop stand,beauty|electronics,cart,2025-07-25
u1047,p1002,laptop stand,electronics,1199,4,mixer grinder|moisturizer|jeans,beauty|electronics,view,2025-09-22
u1046,p4002,moisturizer,beauty,599,5,knife set|bluetooth keyboard|cooking pan,electronics|fashion,purchase,2025-11-02
u1078,p3003,mixer grinder,home & kitchen,3499,2,knife set|sunscreen|cooking pan,fashion|electronics,view,2025-10-31
u1112,p3002,knife set,home & kitchen,999,1,running shoes|knife set|face wash,home & kitchen|electronics,cart,2025-10-19
u1023,p3002,knife set,home & kitchen,999,5,running shoes|jeans|t-shirt,fashion|electronics,purchase,2025-11-01
u1071,p1001,wireless mouse,electronics,799,4,mixer grinder|running shoes|laptop stand,electronics|fashion,cart,2025-08-21
u1097,p2001,running shoes,fashion,2499,1,sunscreen|knife set|moisturizer,home & kitchen|beauty,cart,2025-11-15
u1051,p4003,sunscreen,beauty,699,5,running shoes|t-shirt|face wash,fashion|electronics,purchase,2025-10-14
u1054,p4003,sunscreen,beauty,699,3,mixer grinder|jeans|moisturizer,home & kitchen|electronics,cart,2025-11-12
u1015,p4003,sunscreen,beauty,699,2,running shoes|jeans|laptop stand,electronics|beauty,purchase,2025-09-09
u1035,p4003,sunscreen,beauty,699,2,face wash|mixer grinder|sunscreen,fashion|beauty,cart,2025-11-13
u1046,p1003,bluetooth keyboard,electronics,1499,1,t-shirt|wireless mouse|mixer grinder,electronics|home & kitchen,view,2025-08-22
u1037,p4003,sunscreen,beauty,699,5,bluetooth keyboard|moisturizer|knife set,beauty|home & kitchen,cart,2025-09-12
u1061,p3002,knife set,home & kitchen,999,1,jeans|bluetooth keyboard|wireless mouse,fashion|electronics,view,2025-09-30
u1062,p1002,laptop stand,electronics,1199,5,face wash|moisturizer|wireless mouse,electronics|beauty,cart,2025-12-20
u1031,p1002,laptop stand,electronics,1199,4,mixer grinder|cooking pan|face wash,electronics|fashion,cart,2025-09-19
u1038,p4001,face wash,beauty,399,1,cooking pan|t-shirt|face wash,beauty|fashion,view,2025-08-03
u1027,p2002,t-shirt,fashion,799,5,moisturizer|laptop stand|bluetooth keyboard,electronics|beauty,view,2025-12-01
u1000,p3001,cooking pan,home & kitchen,1599,2,knife set|face wash|sunscreen,fashion|beauty,cart,2025-10-30
u1089,p3002,knife set,home & kitchen,999,5,laptop stand|moisturizer|running shoes,fashion|home & kitchen,purchase,2025-11-21
u1054,p1002,laptop stand,electronics,1199,1,mixer grinder|running shoes|bluetooth keyboard,fashion|beauty,view,2025-11-29
u1101,p2002,t-shirt,fashion,799,4,face wash|sunscreen|t-shirt,home & kitchen|beauty,purchase,2025-10-25
u1089,p3001,cooking pan,home & kitchen,1599,1,t-shirt|mixer grinder|moisturizer,home & kitchen|electronics,purchase,2025-12-31
u1113,p3001,cooking pan,home & kitchen,1599,1,sunscreen|jeans|face wash,fashion|beauty,view,2025-07-22
u1107,p4001,face wash,beauty,399,4,face wash|wireless mouse|t-shirt,beauty|home & kitchen,purchase,2025-07-28
u1056,p2002,t-shirt,fashion,799,4,bluetooth keyboard|face wash|cooking pan,home & kitchen|beauty,cart,2025-09-28
u1042,p2003,jeans,fashion,1799,4,moisturizer|laptop stand|bluetooth keyboard,fashion|electronics,cart,2025-07-25
u1051,p3003,mixer grinder,home & kitchen,3499,3,wireless mouse|knife set|laptop stand,fashion|electronics,view,2025-09-29
u1110,p3003,mixer grinder,home & kitchen,3499,1,wireless mouse|moisturizer|mixer grinder,home & kitchen|electronics,view,2025-08-31
u1046,p4001,face wash,beauty,399,3,knife set|moisturizer|sunscreen,beauty|home & kitchen,purchase,2025-12-08
u1118,p2002,t-shirt,fashion,799,5,knife set|sunscreen|laptop stand,beauty|fashion,view,2025-12-01
u1039,p3003,mixer grinder,home & kitchen,3499,1,wireless mouse|mixer grinder|cooking pan,beauty|home & kitchen,cart,2025-12-11
u1082,p1003,bluetooth keyboard,electronics,1499,4,knife set|t-shirt|mixer grinder,fashion|electronics,cart,2025-11-09
u1058,p3003,mixer grinder,home & kitchen,3499,3,bluetooth keyboard|cooking pan|running shoes,electronics|beauty,cart,2025-10-15
u1119,p3003,mixer grinder,home & kitchen,3499,5,t-shirt|wireless mouse|sunscreen,fashion|home & kitchen,purchase,2025-09-07
u1110,p1003,bluetooth keyboard,electronics,1499,5,knife set|mixer grinder|sunscreen,fashion|electronics,purchase,2025-10-06
u1058,p2003,jeans,fashion,1799,4,running shoes|sunscreen|face wash,home & kitchen|beauty,view,2025-10-21
u1095,p3002,knife set,home & kitchen,999,1,sunscreen|cooking pan|moisturizer,electronics|home & kitchen,view,2025-09-04
u1075,p2003,jeans,fashion,1799,2,laptop stand|knife set|sunscreen,home & kitchen|beauty,cart,2025-07-27
u1019,p1002,laptop stand,electronics,1199,1,knife set|t-shirt|jeans,home & kitchen|fashion,cart,2025-07-22
u1109,p3003,mixer grinder,home & kitchen,3499,1,cooking pan|jeans|knife set,beauty|fashion,view,2025-08-02
u1087,p2002,t-shirt,fashion,799,1,running shoes|laptop stand|cooking pan,beauty|fashion,cart,2025-11-29
u1088,p2002,t-shirt,fashion,799,3,wireless mouse|sunscreen|jeans,beauty|electronics,cart,2025-09-22
u1018,p2001,running shoes,fashion,2499,2,mixer grinder|cooking pan|face wash,electronics|beauty,view,2025-08-07
u1111,p3001,cooking pan,home & kitchen,1599,2,face wash|moisturizer|running shoes,home & kitchen|fashion,view,2025-09-14
u1081,p2002,t-shirt,fashion,799,5,knife set|t-shirt|wireless mouse,home & kitchen|electronics,view,2025-12-23
u1056,p2003,jeans,fashion,1799,3,face wash|t-shirt|cooking pan,fashion|electronics,view,2025-10-04
u1109,p3002,knife set,home & kitchen,999,3,laptop stand|running shoes|cooking pan,fashion|home & kitchen,purchase,2025-10-27
u1002,p4002,moisturizer,beauty,599,4,cooking pan|t-shirt|wireless mouse,beauty|fashion,cart,2025-11-13
u1077,p2003,jeans,fashion,1799,2,running shoes|moisturizer|sunscreen,fashion|home & kitchen,purchase,2025-12-17
u1115,p4002,moisturizer,beauty,599,5,moisturizer|wireless mouse|t-shirt,home & kitchen|beauty,cart,2025-12-08
u1011,p2002,t-shirt,fashion,799,5,jeans|cooking pan|bluetooth keyboard,electronics|beauty,cart,2025-08-28
u1064,p2002,t-shirt,fashion,799,3,bluetooth keyboard|t-shirt|knife set,fashion|home & kitchen,view,2025-09-13
u1009,p1003,bluetooth keyboard,electronics,1499,4,running shoes|moisturizer|cooking pan,fashion|beauty,view,2025-11-04
u1068,p1002,laptop stand,electronics,1199,3,knife set|jeans|t-shirt,home & kitchen|fashion,view,2025-07-22
u1029,p3002,knife set,home & kitchen,999,2,wireless mouse|face wash|mixer grinder,fashion|home & kitchen,purchase,2025-12-25
u1081,p3002,knife set,home & kitchen,999,1,sunscreen|t-shirt|cooking pan,beauty|home & kitchen,view,2025-10-25
u1063,p1002,laptop stand,electronics,1199,4,laptop stand|running shoes|mixer grinder,electronics|home & kitchen,cart,2025-07-23
u1095,p4003,sunscreen,beauty,699,1,mixer grinder|cooking pan|face wash,electronics|home & kitchen,cart,2025-08-06
u1052,p2002,t-shirt,fashion,799,2,wireless mouse|jeans|running shoes,home & kitchen|electronics,cart,2025-12-16
u1087,p2003,jeans,fashion,1799,3,mixer grinder|moisturizer|jeans,beauty|electronics,view,2025-12-10
u1108,p3002,knife set,home & kitchen,999,3,laptop stand|moisturizer|running shoes,beauty|home & kitchen,view,2025-12-09
u1100,p4001,face wash,beauty,399,2,running shoes|laptop stand|mixer grinder,electronics|fashion,view,2025-10-18
u1099,p1003,bluetooth keyboard,electronics,1499,5,face wash|wireless mouse|t-shirt,electronics|beauty,cart,2025-11-27
u1014,p4002,moisturizer,beauty,599,5,wireless mouse|bluetooth keyboard|sunscreen,fashion|beauty,cart,2026-01-06
u1022,p2002,t-shirt,fashion,799,1,wireless mouse|bluetooth keyboard|cooking pan,beauty|fashion,cart,2025-09-18
u1099,p2003,jeans,fashion,1799,2,mixer grinder|face wash|laptop stand,home & kitchen|fashion,purchase,2025-12-30
u1093,p4002,moisturizer,beauty,599,4,mixer grinder|t-shirt|knife set,beauty|home & kitchen,cart,2025-09-23
u1087,p1002,laptop stand,electronics,1199,5,knife set|sunscreen|laptop stand,beauty|electronics,view,2025-12-25
u1016,p2002,t-shirt,fashion,799,5,face wash|moisturizer|sunscreen,fashion|electronics,purchase,2025-10-27
u1058,p3003,mixer grinder,home & kitchen,3499,5,face wash|cooking pan|laptop stand,beauty|fashion,purchase,2025-11-16
u1055,p3002,knife set,home & kitchen,999,4,running shoes|cooking pan|jeans,home & kitchen|electronics,purchase,2025-12-17
u1040,p3001,cooking pan,home & kitchen,1599,4,jeans|moisturizer|t-shirt,fashion|beauty,view,2025-12-18
u1106,p1002,laptop stand,electronics,1199,5,laptop stand|cooking pan|sunscreen,fashion|beauty,view,2025-08-13
u1071,p3003,mixer grinder,home & kitchen,3499,4,jeans|moisturizer|laptop stand,home & kitchen|electronics,purchase,2025-12-28
u1036,p4001,face wash,beauty,399,4,t-shirt|jeans|laptop stand,electronics|beauty,view,2025-12-14
u1044,p3003,mixer grinder,home & kitchen,3499,5,jeans|laptop stand|t-shirt,electronics|home & kitchen,purchase,2025-08-06
u1086,p4002,moisturizer,beauty,599,2,mixer grinder|wireless mouse|face wash,fashion|beauty,cart,2025-07-15
u1097,p2002,t-shirt,fashion,799,5,jeans|sunscreen|wireless mouse,electronics|beauty,purchase,2025-09-30
u1008,p1003,bluetooth keyboard,electronics,1499,5,sunscreen|moisturizer|wireless mouse,beauty|fashion,view,2025-10-06
u1053,p3002,knife set,home & kitchen,999,3,jeans|bluetooth keyboard|sunscreen,fashion|home & kitchen,purchase,2025-08-11
u1010,p1001,wireless mouse,electronics,799,1,bluetooth keyboard|sunscreen|face wash,beauty|fashion,cart,2025-09-19
u1084,p3001,cooking pan,home & kitchen,1599,2,knife set|face wash|sunscreen,home & kitchen|electronics,purchase,2025-12-12
u1044,p3001,cooking pan,home & kitchen,1599,3,laptop stand|t-shirt|face wash,home & kitchen|fashion,view,2025-11-15
u1050,p4001,face wash,beauty,399,2,wireless mouse|sunscreen|running shoes,fashion|beauty,cart,2025-10-28
u1041,p1002,laptop stand,electronics,1199,4,wireless mouse|knife set|cooking pan,electronics|beauty,purchase,2025-11-13
u1064,p3003,mixer grinder,home & kitchen,3499,1,moisturizer|jeans|laptop stand,home & kitchen|fashion,cart,2026-01-06
u1058,p1002,laptop stand,electronics,1199,4,jeans|face wash|cooking pan,home & kitchen|fashion,cart,2025-12-12
u1051,p1001,wireless mouse,electronics,799,3,jeans|bluetooth keyboard|face wash,home & kitchen|fashion,view,2025-09-21
u1108,p1002,laptop stand,electronics,1199,1,running shoes|cooking pan|face wash,home & kitchen|fashion,cart,2025-10-23
u1095,p2003,jeans,fashion,1799,1,running shoes|jeans|bluetooth keyboard,beauty|fashion,purchase,2025-09-02
u1024,p2003,jeans,fashion,1799,2,jeans|moisturizer|bluetooth keyboard,electronics|beauty,cart,2025-11-21
u1022,p4001,face wash,beauty,399,4,bluetooth keyboard|moisturizer|laptop stand,electronics|fashion,cart,2025-08-19
u1097,p4001,face wash,beauty,399,3,knife set|moisturizer|face wash,fashion|home & kitchen,view,2025-09-20
u1008,p3002,knife set,home & kitchen,999,1,knife set|moisturizer|t-shirt,fashion|home & kitchen,cart,2025-09-03
u1009,p2002,t-shirt,fashion,799,3,knife set|sunscreen|wireless mouse,beauty|electronics,view,2025-07-29
u1110,p1002,laptop stand,electronics,1199,5,face wash|sunscreen|mixer grinder,home & kitchen|electronics,purchase,2025-12-31
u1057,p4001,face wash,beauty,399,2,moisturizer|running shoes|jeans,home & kitchen|fashion,view,2025-09-17
u1013,p2003,jeans,fashion,1799,2,sunscreen|laptop stand|mixer grinder,electronics|beauty,purchase,2025-09-20
u1056,p3003,mixer grinder,home & kitchen,3499,3,mixer grinder|face wash|bluetooth keyboard,fashion|electronics,cart,2025-09-28
u1099,p2003,jeans,fashion,1799,3,moisturizer|face wash|wireless mouse,fashion|beauty,view,2025-08-21
u1086,p3001,cooking pan,home & kitchen,1599,1,t-shirt|sunscreen|face wash,electronics|home & kitchen,purchase,2025-07-25
u1018,p2003,jeans,fashion,1799,1,t-shirt|moisturizer|cooking pan,electronics|fashion,cart,2025-08-20
u1048,p4002,moisturizer,beauty,599,4,jeans|bluetooth keyboard|mixer grinder,beauty|fashion,purchase,2025-10-10
u1002,p2003,jeans,fashion,1799,2,t-shirt|bluetooth keyboard|running shoes,fashion|electronics,view,2025-12-06
u1019,p1002,laptop stand,electronics,1199,3,t-shirt|laptop stand|mixer grinder,beauty|fashion,purchase,2025-12-08
u1076,p3001,cooking pan,home & kitchen,1599,4,bluetooth keyboard|sunscreen|moisturizer,electronics|fashion,view,2025-09-27
u1046,p4002,moisturizer,beauty,599,4,sunscreen|running shoes|knife set,fashion|home & kitchen,view,2025-08-27
u1030,p2002,t-shirt,fashion,799,3,knife set|running shoes|jeans,home & kitchen|electronics,cart,2025-09-04
u1067,p3001,cooking pan,home & kitchen,1599,1,bluetooth keyboard|running shoes|face wash,electronics|home & kitchen,purchase,2025-09-09
u1111,p2003,jeans,fashion,1799,1,mixer grinder|laptop stand|sunscreen,beauty|electronics,view,2025-11-02
u1057,p3003,mixer grinder,home & kitchen,3499,3,bluetooth keyboard|cooking pan|laptop stand,electronics|home & kitchen,view,2025-09-26
u1006,p3001,cooking pan,home & kitchen,1599,3,mixer grinder|jeans|running shoes,home & kitchen|beauty,view,2026-01-03
u1040,p1002,laptop stand,electronics,1199,1,sunscreen|moisturizer|jeans,electronics|beauty,cart,2025-09-12
u1089,p1003,bluetooth keyboard,electronics,1499,1,sunscreen|knife set|moisturizer,beauty|home & kitchen,cart,2025-11-16
u1106,p1003,bluetooth keyboard,electronics,1499,3,mixer grinder|face wash|sunscreen,home & kitchen|beauty,view,2025-10-25
u1015,p1001,wireless mouse,electronics,799,1,running shoes|cooking pan|face wash,home & kitchen|beauty,cart,2025-08-11
u1068,p1001,wireless mouse,electronics,799,2,moisturizer|mixer grinder|face wash,electronics|fashion,cart,2025-09-23
u1000,p4001,face wash,beauty,399,1,jeans|running shoes|face wash,home & kitchen|beauty,purchase,2025-10-10
u1008,p3003,mixer grinder,home & kitchen,3499,4,mixer grinder|sunscreen|moisturizer,beauty|electronics,view,2025-08-01
u1049,p2003,jeans,fashion,1799,2,t-shirt|wireless mouse|jeans,beauty|electronics,purchase,2025-07-26
u1080,p1002,laptop stand,electronics,1199,5,face wash|jeans|bluetooth keyboard,beauty|electronics,cart,2025-07-30
u1022,p4002,moisturizer,beauty,599,4,knife set|sunscreen|bluetooth keyboard,electronics|beauty,view,2025-10-27
u1025,p1001,wireless mouse,electronics,799,4,running shoes|wireless mouse|jeans,fashion|home & kitchen,purchase,2025-09-11
u1032,p1001,wireless mouse,electronics,799,3,moisturizer|running shoes|t-shirt,fashion|beauty,cart,2025-12-10
u1102,p2003,jeans,fashion,1799,2,cooking pan|sunscreen|knife set,home & kitchen|electronics,cart,2025-07-17
u1063,p2003,jeans,fashion,1799,4,mixer grinder|t-shirt|laptop stand,home & kitchen|beauty,purchase,2025-11-25
u1069,p2002,t-shirt,fashion,799,3,jeans|laptop stand|moisturizer,fashion|home & kitchen,cart,2025-09-18
u1077,p4003,sunscreen,beauty,699,1,cooking pan|bluetooth keyboard|knife set,fashion|electronics,purchase,2025-10-12
u1078,p3001,cooking pan,home & kitchen,1599,4,t-shirt|moisturizer|wireless mouse,beauty|fashion,cart,2025-09-01
u1102,p4003,sunscreen,beauty,699,4,moisturizer|bluetooth keyboard|wireless mouse,electronics|fashion,view,2025-12-09
u1008,p2001,running shoes,fashion,2499,1,moisturizer|jeans|sunscreen,home & kitchen|fashion,purchase,2025-12-02
u1086,p3002,knife set,home & kitchen,999,2,jeans|sunscreen|knife set,beauty|fashion,purchase,2025-10-09
u1050,p2003,jeans,fashion,1799,2,moisturizer|t-shirt|running shoes,beauty|home & kitchen,cart,2025-08-31
u1049,p3003,mixer grinder,home & kitchen,3499,5,laptop stand|t-shirt|moisturizer,home & kitchen|beauty,cart,2025-07-17
u1117,p3002,knife set,home & kitchen,999,2,running shoes|laptop stand|bluetooth keyboard,beauty|electronics,purchase,2025-09-19
u1011,p4002,moisturizer,beauty,599,5,jeans|moisturizer|sunscreen,beauty|fashion,cart,2025-10-26
u1108,p1003,bluetooth keyboard,electronics,1499,2,sunscreen|moisturizer|bluetooth keyboard,fashion|home & kitchen,view,2025-11-20
u1101,p1003,bluetooth keyboard,electronics,1499,5,running shoes|knife set|wireless mouse,fashion|home & kitchen,cart,2025-09-13
u1102,p3003,mixer grinder,home & kitchen,3499,4,bluetooth keyboard|face wash|laptop stand,beauty|electronics,purchase,2025-09-10
u1067,p3001,cooking pan,home & kitchen,1599,1,cooking pan|face wash|laptop stand,electronics|home & kitchen,cart,2025-09-13
u1087,p3003,mixer grinder,home & kitchen,3499,4,jeans|bluetooth keyboard|mixer grinder,electronics|beauty,purchase,2025-12-27
u1106,p1002,laptop stand,electronics,1199,3,mixer grinder|bluetooth keyboard|t-shirt,electronics|beauty,purchase,2025-11-14
u1044,p3003,mixer grinder,home & kitchen,3499,5,t-shirt|laptop stand|sunscreen,electronics|fashion,cart,2025-12-09
u1080,p2002,t-shirt,fashion,799,5,face wash|mixer grinder|laptop stand,electronics|fashion,view,2025-11-28
u1084,p4001,face wash,beauty,399,1,sunscreen|face wash|jeans,beauty|home & kitchen,view,2025-07-30
u1098,p4001,face wash,beauty,399,1,t-shirt|moisturizer|running shoes,home & kitchen|fashion,cart,2025-08-03
u1069,p2002,t-shirt,fashion,799,4,moisturizer|t-shirt|knife set,electronics|fashion,cart,2025-09-16
u1009,p4003,sunscreen,beauty,699,4,wireless mouse|bluetooth keyboard|knife set,home & kitchen|electronics,view,2025-10-15
u1077,p1003,bluetooth keyboard,electronics,1499,3,jeans|sunscreen|moisturizer,home & kitchen|beauty,purchase,2025-08-20
u1013,p2003,jeans,fashion,1799,2,running shoes|knife set|laptop stand,fashion|electronics,view,2025-12-17
u1006,p2002,t-shirt,fashion,799,3,cooking pan|face wash|sunscreen,electronics|beauty,purchase,2025-10-22
u1024,p1003,bluetooth keyboard,electronics,1499,4,knife set|mixer grinder|sunscreen,home & kitchen|electronics,view,2025-12-18
u1050,p3003,mixer grinder,home & kitchen,3499,1,knife set|running shoes|moisturizer,fashion|beauty,cart,2025-09-06
